date,daytype,seconds,miles,tips,total,payment_type,speed
9/9/19,weekday,601,1.56,2,10.25,Credit,9.344426
8/29/19,weekday,346,0.73,2,8.25,Credit,7.5953757
2/22/19,weekend,931,3.29,0,13.75,Cash,12.721805
5/30/19,weekday,252,0.7,0,5.25,Cash,10
7/21/19,weekday,393,1.12,0,7.25,Cash,10.259542
11/30/19,weekend,1320,1.1,1,46.25,Credit,3
10/15/19,weekday,246,0.5,0,4.75,Cash,7.3170732
2/2/19,weekend,680,2.02,2,11.75,Credit,10.694118
8/17/19,weekend,686,3,0,13.5,Cash,15.74344
7/26/19,weekend,240,0.6,0,5,Cash,9
8/30/19,weekend,2820,18.2,0,46.75,Cash,23.234043
2/21/19,weekday,652,1.67,3,12,Credit,9.2208589
2/10/19,weekday,443,0.5,0,7.75,Cash,4.0632054
10/16/19,weekday,602,1.2,4,12,Credit,7.1760797
4/30/19,weekday,480,1.5,0,7.5,Cash,11.25
9/29/19,weekday,600,0.1,0,10.25,Cash,0.6
3/8/19,weekend,480,1.9,3,11.75,Credit,14.25
10/19/19,weekend,480,3.2,0,10.75,Cash,24
5/25/19,weekend,675,1.54,0,9.5,Cash,8.2133333
7/26/19,weekend,240,1.2,0,6,Cash,18
2/26/19,weekday,1680,16.3,11.56,57.81,Credit,34.928571
12/15/19,weekday,480,2,0,8.75,Cash,15
6/28/19,weekend,1118,0.81,3,14,Credit,2.608229
2/16/19,weekend,1295,16.97,9.25,55.5,Credit,47.17529
4/24/19,weekday,135,0.54,2,7,Credit,14.4
4/19/19,weekend,540,0.7,0,6.75,Cash,4.6666667
11/9/19,weekend,300,0.5,0,5.5,Cash,6
9/15/19,weekday,573,1.5,2,10.25,Credit,9.4240838
11/19/19,weekday,720,2,0,9.25,Cash,10
7/26/19,weekend,780,3.3,3.82,16.57,Credit,15.230769
7/17/19,weekday,1283,8.84,0,26.75,Cash,24.804365
9/5/19,weekday,1620,4.3,5.15,21.9,Credit,9.5555556
1/12/19,weekend,283,0.92,0,6,Cash,11.70318
2/28/19,weekday,1260,3.6,2.8,16.8,Credit,10.285714
4/29/19,weekday,635,3.5,0,13,Cash,19.84252
6/20/19,weekday,784,1.56,1.71,10.96,Credit,7.1632653
2/22/19,weekend,360,0.7,2,8.25,Credit,7
11/21/19,weekday,184,0.72,0,5,Cash,14.086957
6/12/19,weekday,260,0.7,0,5.25,Cash,9.6923077
8/24/19,weekend,840,3.1,0,13.75,Cash,13.285714
2/27/19,weekday,528,1.48,1,9,Credit,10.090909
3/8/19,weekend,159,0.2,0,5,Cash,4.5283019
3/19/19,weekday,600,3.3,0,12,Cash,19.8
4/9/19,weekday,2280,10.5,7,41.25,Credit,16.578947
2/13/19,weekday,356,0.82,0,5.75,Cash,8.2921348
4/25/19,weekday,660,2.2,0,9.25,Cash,12
4/18/19,weekday,2520,13.2,8,47,Credit,18.857143
2/24/19,weekday,1020,2,0,12,Cash,7.0588235
12/21/19,weekend,480,1.4,0,7.5,Cash,10.5
11/27/19,weekday,2354,18.1,10.2,61.2,Credit,27.680544
8/15/19,weekday,720,2,2.5,12,Credit,10
3/25/19,weekday,577,1.8,2.5,10.75,Credit,11.230503
7/21/19,weekday,240,0.7,0,5,Cash,10.5
4/10/19,weekday,672,2.37,0,9.75,Cash,12.696429
2/15/19,weekend,300,0.7,0,7.25,Cash,8.4
1/3/19,weekday,727,4.27,0,18,Cash,21.144429
9/22/19,weekday,1161,10.36,0,33.75,Cash,32.124031
3/1/19,weekend,303,1.1,2,8.25,Credit,13.069307
1/27/19,weekday,2694,20.8,0,51.75,Cash,27.7951
10/23/19,weekday,240,0.5,0,5,Cash,7.5
1/3/19,weekday,450,0.96,2,9,Credit,7.68
10/1/19,weekday,2400,18.6,10,60.75,Credit,27.9
9/6/19,weekend,960,0.2,0,14.75,Cash,0.75
1/9/19,weekday,780,1.9,3,12.5,Credit,8.7692308
1/27/19,weekday,515,2.42,2,13.25,Credit,16.916505
10/28/19,weekday,345,1.27,2,9,Credit,13.252174
7/3/19,weekday,787,2.03,0,10,Cash,9.2858958
10/31/19,weekday,387,0.89,0,5.75,Cash,8.2790698
2/14/19,weekday,467,1.2,0,7,Cash,9.2505353
12/25/19,weekday,2714,18.66,0,53.75,Cash,24.751658
1/24/19,weekday,420,1.5,0,8.25,Cash,12.857143
1/2/19,weekday,515,1.5,2,9.75,Credit,10.485437
9/5/19,weekday,1316,4.7,0,15.5,Cash,12.857143
11/4/19,weekday,1955,14.72,8.55,51.3,Credit,27.105882
9/19/19,weekday,628,2.1,3,12.75,Credit,12.038217
4/6/19,weekend,2460,18.4,0,51.5,Credit,26.926829
7/14/19,weekday,1922,18.41,10,60,Credit,34.48283
8/5/19,weekday,2151,14.08,7.45,44.7,Credit,23.564854
9/12/19,weekday,444,1.1,2,9.25,Credit,8.9189189
5/4/19,weekend,1440,5.2,0,20.75,Cash,13
11/25/19,weekday,360,0.1,0,9.5,Cash,1
8/7/19,weekday,420,1.6,0,7.25,Cash,13.714286
5/30/19,weekday,540,0.9,0,6.75,Cash,6
10/21/19,weekday,2040,17.3,18.55,92.3,Credit,30.529412
11/12/19,weekday,1740,1,9.05,54.05,Credit,2.0689655
12/10/19,weekday,694,2.81,0,12.25,Cash,14.576369
10/17/19,weekday,560,1.64,0,9.25,Cash,10.542857
4/9/19,weekday,448,1.23,0,6.75,Cash,9.8839286
8/8/19,weekday,347,0.61,0,5.25,Cash,6.3285303
6/1/19,weekend,240,0.2,0,4.5,Cash,3
11/12/19,weekday,1260,16.1,4,47.75,Credit,46
7/26/19,weekend,2684,11.16,7.35,44.1,Credit,14.968703
1/4/19,weekend,606,2.94,2,13.5,Credit,17.465347
5/12/19,weekday,1020,2.5,0,12.25,Cash,8.8235294
9/17/19,weekday,386,0.7,1.71,7.96,Credit,6.5284974
1/24/19,weekday,1140,10.9,6.5,39,Credit,34.421053
8/15/19,weekday,428,2.13,2,14,Credit,17.915888
3/5/19,weekday,216,0.5,0,4.75,Cash,8.3333333
1/18/19,weekend,362,1.07,2,8.5,Credit,10.640884
1/30/19,weekday,840,3.9,0,12.75,Cash,16.714286
3/5/19,weekday,530,2.26,2,11.5,Credit,15.350943
7/21/19,weekday,1118,3.6,3,18,Credit,11.592129
1/17/19,weekday,463,0.89,0,6.25,Credit,6.9200864
5/9/19,weekday,901,2.41,4,15,Credit,9.6293008
8/1/19,weekday,201,0.64,2,7.5,Credit,11.462687
10/19/19,weekend,774,1.1,0,8,Cash,5.1162791
3/21/19,weekday,300,0.8,2,7.5,Credit,9.6
11/21/19,weekday,240,0.8,1,6.25,Credit,12
2/6/19,weekday,2386,18.02,9.95,59.7,Credit,27.1886
12/4/19,weekday,1380,17.4,11.81,59.06,Credit,45.391304
9/12/19,weekday,94,0.13,2,6.25,Credit,4.9787234
1/25/19,weekend,254,1.04,0,5.5,Cash,14.740157
10/19/19,weekend,660,0.2,2.65,15.4,Credit,1.0909091
6/18/19,weekday,840,2.3,1.65,12.65,Credit,9.8571429
4/23/19,weekday,389,0.76,0,6.5,Credit,7.033419
5/15/19,weekday,940,7.13,0,20,Cash,27.306383
3/22/19,weekend,511,1.29,0,8.75,Cash,9.0880626
1/19/19,weekend,2040,17.8,5,54.25,Credit,31.411765
4/9/19,weekday,383,1.08,0,6.25,Cash,10.151436
8/16/19,weekend,234,0.6,0,4.75,Cash,9.2307692
12/2/19,weekday,300,1.1,1,7,Credit,13.2
10/3/19,weekday,312,1.13,3,9.75,Credit,13.038462
3/14/19,weekday,600,1.3,1,8.5,Credit,7.8
2/14/19,weekday,468,0.9,0,6.5,Cash,6.9230769
4/12/19,weekend,829,3.67,0,12.75,Cash,15.937274
4/25/19,weekday,660,1,0,8.75,Cash,5.4545455
2/15/19,weekend,630,1.46,0,7.5,Cash,8.3428571
9/5/19,weekday,587,2.25,0,9.25,Cash,13.798978
10/3/19,weekday,444,0.79,0,6,Cash,6.4054054
7/7/19,weekday,679,2.8,0,10.25,Cash,14.845361
4/14/19,weekday,809,2.72,0,12.25,Cash,12.103832
10/18/19,weekend,480,0.8,0,6.5,Cash,6
5/2/19,weekday,3360,25.6,17.81,89.06,Credit,27.428571
6/25/19,weekday,763,4.03,2.8,16.8,Credit,19.014417
2/26/19,weekday,600,1.6,0,8.5,Cash,9.6
6/21/19,weekend,432,1.55,4,14,Credit,12.916667
1/16/19,weekday,1175,1.69,2,13.25,Credit,5.1778723
2/8/19,weekend,720,3,2.6,15.6,Credit,15
7/6/19,weekend,217,0.38,0,5.75,Cash,6.3041475
5/31/19,weekend,840,1.5,0.93,10.18,Credit,6.4285714
10/1/19,weekday,665,0.98,0.5,8.5,Credit,5.3052632
11/12/19,weekday,240,0.5,0,5,Cash,7.5
12/3/19,weekday,340,1.1,2,8.75,Credit,11.647059
6/26/19,weekday,540,2.4,1,10.5,Credit,16
10/23/19,weekday,480,1.4,0,8.5,Cash,10.5
7/2/19,weekday,548,2.1,0,12.75,Cash,13.79562
8/12/19,weekday,3789,17.88,6,56.5,Credit,16.988124
10/13/19,weekday,296,0.64,2,8.5,Credit,7.7837838
4/11/19,weekday,562,1.89,0,9.5,Cash,12.106762
4/16/19,weekday,420,1.3,3,10.25,Credit,11.142857
8/6/19,weekday,149,0.24,0,4,Cash,5.7986577
7/15/19,weekday,240,0.4,0,5.75,Cash,6
7/12/19,weekend,540,1.7,0,8,Credit,11.333333
9/24/19,weekday,205,0.37,2,7.75,Credit,6.497561
10/16/19,weekday,631,1.41,0,8,Cash,8.044374
1/26/19,weekend,300,0.6,0,6.25,Cash,7.2
4/5/19,weekend,300,1.4,3.15,13.65,Credit,16.8
6/28/19,weekend,838,1.68,0,10,Cash,7.2171838
4/25/19,weekday,4740,17.6,12.56,62.81,Credit,13.367089
9/17/19,weekday,480,1,1,7.25,Credit,7.5
12/12/19,weekday,660,2.2,0,10.75,Cash,12
12/19/19,weekday,634,1.63,0,9.5,Cash,9.2555205
2/5/19,weekday,2381,16.85,10.14,53.64,Credit,25.47669
2/19/19,weekday,815,1.9,2,11.75,Credit,8.392638
2/22/19,weekend,203,0.58,0,5,Cash,10.285714
2/5/19,weekday,765,1.29,0,8,Cash,6.0705882
4/30/19,weekday,326,0.64,0,6.5,Cash,7.0674847
6/11/19,weekday,1260,8.4,7.6,32.6,Credit,24
6/24/19,weekday,431,1.76,4,12.25,Credit,14.700696
1/25/19,weekend,669,1.74,2,12.25,Credit,9.3632287
1/15/19,weekday,300,0.7,0,5.5,Cash,8.4
5/9/19,weekday,2969,17.71,9.9,59.4,Credit,21.473897
10/9/19,weekday,1140,5.9,8,30.25,Credit,18.631579
1/21/19,weekday,300,0.9,0,7,Cash,10.8
4/2/19,weekday,180,1.1,2,7.5,Credit,22
4/21/19,weekday,2624,17.56,0,48,Cash,24.091463
4/8/19,weekday,360,1.3,1.5,8.75,Credit,13
4/9/19,weekday,323,0.74,0,5.5,Cash,8.247678
4/13/19,weekend,360,1.6,0,7,Cash,16
5/10/19,weekend,1065,4.46,0,14.75,Cash,15.076056
3/24/19,weekday,1149,17.39,9.4,56.4,Credit,54.48564
6/29/19,weekend,548,1.05,0,9.25,Cash,6.8978102
4/4/19,weekday,446,0.88,2,9.25,Credit,7.103139
6/7/19,weekend,360,0.2,0,5.25,Cash,2
6/20/19,weekday,1036,3.05,0,12.25,Cash,10.598456
2/18/19,weekday,163,0.38,0,5.25,Cash,8.392638
4/10/19,weekday,1860,16.8,9.3,55.8,Credit,32.516129
8/30/19,weekend,2280,0.9,6.25,49.5,Credit,1.4210526
6/14/19,weekend,735,2.12,0,10,Cash,10.383673
6/21/19,weekend,1432,4.3,0,16.5,Cash,10.810056
7/11/19,weekday,960,1.5,2.05,11.8,Credit,5.625
6/11/19,weekday,1200,13.1,7.55,45.3,Credit,39.3
12/13/19,weekend,394,0.86,2,9.75,Credit,7.857868
8/20/19,weekday,660,0.91,1.5,9.5,Credit,4.9636364
5/15/19,weekday,360,0.1,0,10.5,Cash,1
3/15/19,weekend,540,3.7,4.12,20.62,Credit,24.666667
5/8/19,weekday,540,1.5,2,10.25,Credit,10
11/25/19,weekday,3120,17.6,10.1,60.1,Credit,20.307692
8/7/19,weekday,250,0.54,0,6.5,Cash,7.776
